"الشهر","حادث تلفيات","حادث اصابات","حادث وفيات"," مجموع عدد الحوادث","السبت","الا حد","الاثنين","الثلاثاء","الا ربعاء","الخميس","الجمعة","مجموع عدد الحوادث لجميع الأيام","نهارا","ليلا","مجموع عدد الحوادث حسب الوقت","داخل المدينة","خارج المدينة","مجموع عدد الحوادث حسب مكان الحادث","صغيرة","جيب","حافلة","ونيت","نقل","وايت","اخرى","مجموع عدد السيارات المشتركة في الحوادث حسب الطراز","-18.0","18+","30+","40+","50+","المجموع حسب العمر","سعودي ","اجنبي","المجموع حسب الجنسية","متزوج","اعزب","المجموع حسب الحالة الاجتماعية","متعلم ","امى","المجموع حسب الحالة التعليمية","نوع الرخصة خصوصى","نوع الرخصة عمومى","نوع الرخصة اليات ","نوع الرخصة دراجة","السائق لا يحمل رخصة قيادة","المجموع","السائق لا يحمل رخصة قيادة","الرخصة سارية ","الرخصة منتهية","المجموع","تصادم مع سيارة","تصادم مع جسم ثابت","دهس مشاة","دهس حيوان","حريق","انقلاب","خروج عن الطريق","أخرى","المجموع","توقف غير نظامى","دوران غير نظامى","تجاوز غير نظامى","عدم التقيد بالاشارة","السرعة الزائدة","السائق تحت تأثير مخدر","اخرى","مجموع الحوادث حسب سبب الحادث","عدد المصابين","عدد المتوفين (القتلى)","سليم","مجموع الأشخاص المشمولين بالحوادث"
"محرم","883.0","204.0","37.0","1124.0","165.0","179.0","161.0","147.0","176.0","130.0","166.0","1124.0","619.0","505.0","1124.0","504.0","620.0","1124.0","822.0","244.0","0.0","290.0","134.0","39.0","26.0","1555.0","193.0","535.0","472.0","218.0","137.0","1555.0","1069.0","486.0","1555.0","1148.0","407.0","1555.0","1442.0","113.0","1555.0","1250.0","186.0","0.0","0.0","119.0","1555.0","119.0","1385.0","51.0","1555.0","609.0","108.0","35.0","24.0","1.0","184.0","138.0","25.0","1124.0","15.0","12.0","54.0","5.0","124.0","1.0","913.0","1124.0","326.0","45.0","1420.0","1791.0"
"صفر","939.0","193.0","34.0","1166.0","152.0","154.0","173.0","151.0","201.0","177.0","158.0","1166.0","655.0","511.0","1166.0","471.0","695.0","1166.0","835.0","224.0","6.0","302.0","120.0","36.0","32.0","1555.0","217.0","517.0","392.0","258.0","171.0","1555.0","1070.0","485.0","1555.0","1017.0","538.0","1555.0","1307.0","248.0","1555.0","1241.0","208.0","6.0","0.0","100.0","1555.0","100.0","1365.0","90.0","1555.0","611.0","187.0","46.0","22.0","1.0","160.0","118.0","21.0","1166.0","21.0","28.0","34.0","5.0","244.0","0.0","834.0","1166.0","272.0","42.0","1352.0","1666.0"
"ربيع أول","1061.0","264.0","40.0","1365.0","193.0","179.0","187.0","203.0","243.0","172.0","188.0","1365.0","795.0","570.0","1365.0","633.0","732.0","1365.0","1137.0","246.0","4.0","361.0","124.0","36.0","35.0","1943.0","267.0","557.0","602.0","305.0","212.0","1943.0","1421.0","522.0","1943.0","1426.0","517.0","1943.0","1911.0","32.0","1943.0","1578.0","249.0","2.0","5.0","109.0","1943.0","109.0","1664.0","170.0","1943.0","777.0","241.0","46.0","17.0","0.0","146.0","135.0","3.0","1365.0","15.0","56.0","54.0","10.0","287.0","0.0","943.0","1365.0","462.0","52.0","1676.0","2190.0"
"ربيع ثانى","1148.0","287.0","34.0","1469.0","172.0","227.0","193.0","195.0","213.0","266.0","203.0","1469.0","800.0","669.0","1469.0","819.0","650.0","1469.0","1511.0","321.0","8.0","421.0","136.0","31.0","11.0","2439.0","352.0","721.0","798.0","425.0","143.0","2439.0","1696.0","743.0","2439.0","1814.0","625.0","2439.0","2405.0","34.0","2439.0","1843.0","426.0","2.0","0.0","168.0","2439.0","168.0","1982.0","289.0","2439.0","1054.0","194.0","37.0","27.0","0.0","124.0","27.0","6.0","1469.0","11.0","18.0","45.0","0.0","219.0","0.0","1176.0","1469.0","420.0","38.0","1363.0","1821.0"
"جمادى أول","1111.0","274.0","26.0","1411.0","219.0","191.0","168.0","191.0","215.0","187.0","240.0","1411.0","859.0","552.0","1411.0","707.0","704.0","1411.0","1312.0","314.0","19.0","407.0","161.0","20.0","21.0","2254.0","281.0","681.0","749.0","357.0","186.0","2254.0","1563.0","691.0","2254.0","1657.0","597.0","2254.0","2222.0","32.0","2254.0","1673.0","373.0","7.0","1.0","200.0","2254.0","200.0","1769.0","285.0","2254.0","1010.0","189.0","40.0","13.0","3.0","114.0","37.0","5.0","1411.0","8.0","12.0","45.0","0.0","184.0","0.0","1162.0","1411.0","415.0","33.0","1802.0","2250.0"
"جمادى ثانى","1143.0","247.0","28.0","1418.0","203.0","199.0","206.0","219.0","203.0","188.0","200.0","1418.0","860.0","558.0","1418.0","718.0","700.0","1418.0","1181.0","340.0","6.0","418.0","303.0","24.0","37.0","2309.0","261.0","808.0","757.0","328.0","155.0","2309.0","1712.0","597.0","2309.0","1809.0","500.0","2309.0","2287.0","22.0","2309.0","1658.0","507.0","3.0","0.0","141.0","2309.0","141.0","1922.0","246.0","2309.0","993.0","203.0","33.0","33.0","2.0","115.0","23.0","16.0","1418.0","32.0","61.0","89.0","10.0","160.0","0.0","1066.0","1418.0","386.0","29.0","2223.0","2638.0"
"رجب","1084.0","277.0","39.0","1400.0","185.0","231.0","190.0","178.0","201.0","195.0","220.0","1400.0","837.0","563.0","1400.0","652.0","748.0","1400.0","1268.0","302.0","15.0","472.0","154.0","29.0","24.0","2264.0","241.0","844.0","707.0","359.0","113.0","2264.0","1587.0","677.0","2264.0","1441.0","823.0","2264.0","2221.0","43.0","2264.0","1693.0","482.0","0.0","0.0","89.0","2264.0","89.0","1753.0","422.0","2264.0","1017.0","139.0","34.0","30.0","1.0","106.0","63.0","10.0","1400.0","10.0","40.0","75.0","0.0","261.0","0.0","1014.0","1400.0","424.0","45.0","2202.0","2671.0"
"شعبان","1217.0","255.0","43.0","1515.0","200.0","249.0","184.0","190.0","235.0","240.0","217.0","1515.0","959.0","556.0","1515.0","752.0","763.0","1515.0","1567.0","235.0","9.0","356.0","237.0","24.0","79.0","2507.0","259.0","744.0","727.0","568.0","209.0","2507.0","1837.0","670.0","2507.0","1664.0","843.0","2507.0","2465.0","42.0","2507.0","1837.0","530.0","3.0","1.0","136.0","2507.0","136.0","1961.0","410.0","2507.0","957.0","253.0","49.0","51.0","1.0","131.0","73.0","0.0","1515.0","0.0","4.0","16.0","0.0","116.0","0.0","1379.0","1515.0","351.0","50.0","2372.0","2773.0"
"رمضان","1352.0","187.0","23.0","1562.0","225.0","219.0","216.0","190.0","251.0","237.0","224.0","1562.0","950.0","612.0","1562.0","861.0","701.0","1562.0","1456.0","214.0","5.0","256.0","221.0","13.0","45.0","2210.0","244.0","645.0","561.0","468.0","292.0","2210.0","1492.0","718.0","2210.0","914.0","1296.0","2210.0","2200.0","10.0","2210.0","1614.0","454.0","0.0","0.0","142.0","2210.0","142.0","1668.0","400.0","2210.0","987.0","224.0","28.0","12.0","0.0","229.0","82.0","0.0","1562.0","0.0","0.0","0.0","0.0","263.0","0.0","1299.0","1562.0","333.0","33.0","1875.0","2241.0"
"شوال","1205.0","242.0","51.0","1498.0","206.0","234.0","172.0","198.0","253.0","233.0","202.0","1498.0","768.0","730.0","1498.0","942.0","556.0","1498.0","1389.0","221.0","9.0","265.0","205.0","52.0","78.0","2219.0","143.0","684.0","724.0","474.0","194.0","2219.0","1638.0","581.0","2219.0","1584.0","635.0","2219.0","2149.0","70.0","2219.0","1916.0","186.0","0.0","0.0","117.0","2219.0","117.0","2069.0","33.0","2219.0","1066.0","136.0","41.0","24.0","6.0","101.0","114.0","10.0","1498.0","46.0","43.0","76.0","49.0","113.0","0.0","1171.0","1498.0","333.0","62.0","2166.0","2561.0"
